series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0177245466197187,.0078071664142464,.0298462630158296,7.244248677401314
three_leg_adjusted,avg_v,V (vocabulary),-.0087740515480836,.0216409417600342,.6877725469651582,2.72694970962785
three_leg_adjusted,avg_b,BK (background knowledge),-.0336588036515845,.0139898426438156,.0218926072911758,.9776595852753003
three_leg_adjusted,avg_m,M (meaning),.0033133874174724,.023926983931257,.8907033764190377,3.539639382597841
vocab_adjusted,avg_v,V (vocabulary),-.0373824657846952,.0192182534813454,.060317718407166,2.72694970962785
bk_adjusted,avg_b,BK (background knowledge),-.0375701039106453,.0147689491286674,.0158305036902329,.9776595852753003
meaning_adjusted,avg_m,M (meaning),.0084904052875304,.0214885866130798,.6953024941756042,3.539639382597841
genre_adjusted,avg_v,V (vocabulary),-.0040952189731441,.0273839461179955,.8820313560916769,2.72694970962785
genre_adjusted,avg_b,BK (background knowledge),-.0454062966906134,.0162687272849991,.0086669032788999,.9776595852753003
genre_adjusted,avg_m,M (meaning),.0212837180294457,.0263859695955541,.4256550028879865,3.539639382597841
genre_adjusted,share_literary,Literary share,-.1499279505448313,.0686687578610638,.0362255151028831,.622500024901496
genre_adjusted,share_fiction,Fiction share,.0859079839309102,.1038150145213734,.4138922290517736,.4640973277068065
textstat_adjusted,avg_textstat,Textstat readability (z),-.0130924888316686,.0180557708994117,.4734929890532914,-.8970591028456602
czi_adjusted,avg_czi,CZI complexity (z),-.0151476996052237,.0177831655417392,.4004645899958241,-.8209027878139383
lexile_adjusted,avg_lexile,Published Lexile (z),-.0076901577716589,.0156997648211471,.6274974701624323,-.6986003995837
atos_adjusted,avg_atos,Published ATOS (z),-.0032865447963322,.0150620387352136,.8286166208986168,-.723784583491924
clear_adjusted,avg_clear,CLEAR-calibrated readability (z),-.0223240309998353,.0271633520714099,.4170643772421313,-.9796010822512129
