period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,23,Week 23,6,lexile_adjusted,Lexile (published),external,.7318256356322662,.8919249999999997,lexile_published_z
week,24,Week 24,1,lexile_adjusted,Lexile (published),external,.5810319689913488,.891925,lexile_published_z
week,25,Week 25,9,lexile_adjusted,Lexile (published),external,.5532542210158934,.8919249999999997,lexile_published_z
week,26,Week 26,3,lexile_adjusted,Lexile (published),external,.5365372705463466,.891925,lexile_published_z
week,1,Week 1,14,textstat_adjusted,Textstat,external,.7351599610068879,-1.317555459780099,textstat_complexity_z
week,2,Week 2,1,textstat_adjusted,Textstat,external,.4442420093513852,.6639325565487039,textstat_complexity_z
week,5,Week 5,1,textstat_adjusted,Textstat,external,.8268329387656667,-1.05810495669906,textstat_complexity_z
week,6,Week 6,5,textstat_adjusted,Textstat,external,.7303147481144387,-.7136974540495069,textstat_complexity_z
week,8,Week 8,2,textstat_adjusted,Textstat,external,.3885331373574504,-.1675603570848575,textstat_complexity_z
week,13,Week 13,1,textstat_adjusted,Textstat,external,.3444604630876194,-.3831325939528178,textstat_complexity_z
week,14,Week 14,1,textstat_adjusted,Textstat,external,.7690235431104189,-.8952777094181902,textstat_complexity_z
week,15,Week 15,1,textstat_adjusted,Textstat,external,.4224959842358179,1.117341625603409,textstat_complexity_z
week,18,Week 18,3,textstat_adjusted,Textstat,external,.7941537275856104,-2.23008853128637,textstat_complexity_z
week,23,Week 23,6,textstat_adjusted,Textstat,external,.6783689894574212,.6639325565487039,textstat_complexity_z
week,24,Week 24,1,textstat_adjusted,Textstat,external,.5275753228165037,.6639325565487039,textstat_complexity_z
week,25,Week 25,10,textstat_adjusted,Textstat,external,.5008501076305922,.0048974324095107,textstat_complexity_z
week,26,Week 26,3,textstat_adjusted,Textstat,external,.5074836334779397,.1551248281347912,textstat_complexity_z
week,1,Week 1,14,unadjusted,Unadjusted,observed,.6958835124969482,,observed
week,2,Week 2,1,unadjusted,Unadjusted,observed,.5,,observed
week,5,Week 5,1,unadjusted,Unadjusted,observed,.800000011920929,,observed
week,6,Week 6,5,unadjusted,Unadjusted,observed,.7200000286102295,,observed
week,8,Week 8,2,unadjusted,Unadjusted,observed,.4044117629528046,,observed
week,13,Week 13,1,unadjusted,Unadjusted,observed,.3499999940395355,,observed
week,14,Week 14,1,unadjusted,Unadjusted,observed,.75,,observed
week,15,Week 15,1,unadjusted,Unadjusted,observed,.5,,observed
week,18,Week 18,3,unadjusted,Unadjusted,observed,.7111111283302307,,observed
week,23,Week 23,6,unadjusted,Unadjusted,observed,.7341269850730896,,observed
week,24,Week 24,1,unadjusted,Unadjusted,observed,.5833333134651184,,observed
week,25,Week 25,10,unadjusted,Unadjusted,observed,.5250000357627869,,observed
week,26,Week 26,3,unadjusted,Unadjusted,observed,.5388386249542236,,observed
week,1,Week 1,14,bk_adjusted,BK,vbm,.5386506915092468,1.2,B
week,2,Week 2,1,bk_adjusted,BK,vbm,.3427671790122986,1.2,B
week,5,Week 5,1,bk_adjusted,BK,vbm,.6879533529281616,1.5,B
week,6,Week 6,5,bk_adjusted,BK,vbm,.5989161133766174,1.44,B
week,8,Week 8,2,bk_adjusted,BK,vbm,.8213087320327759,5.011764705882353,B
week,13,Week 13,1,bk_adjusted,BK,vbm,.9157454371452332,6,B
week,14,Week 14,1,bk_adjusted,BK,vbm,.7132635712623596,2,B
week,15,Week 15,1,bk_adjusted,BK,vbm,.7042563557624817,3.6,B
week,18,Week 18,3,bk_adjusted,BK,vbm,.3731337189674377,0,B
week,23,Week 23,6,bk_adjusted,BK,vbm,.5768941640853882,1.2,B
week,24,Week 24,1,bk_adjusted,BK,vbm,.426100492477417,1.2,B
week,25,Week 25,10,bk_adjusted,BK,vbm,.8228182196617126,4.221176470588235,B
week,26,Week 26,3,bk_adjusted,BK,vbm,.75393146276474,3.671945701357466,B
week,1,Week 1,14,meaning_adjusted,Meaning,vbm,.6113581657409668,3.928571462631226,M
week,2,Week 2,1,meaning_adjusted,Meaning,vbm,.5347651243209839,3,M
week,5,Week 5,1,meaning_adjusted,Meaning,vbm,.7062985301017761,4,M
week,6,Week 6,5,meaning_adjusted,Meaning,vbm,.6519918441772461,3.799999952316284,M
week,8,Week 8,2,meaning_adjusted,Meaning,vbm,.5411944389343262,2.20588231086731,M
week,13,Week 13,1,meaning_adjusted,Meaning,vbm,.5132316946983337,2,M
week,14,Week 14,1,meaning_adjusted,Meaning,vbm,.5278319716453552,5,M
week,15,Week 15,1,meaning_adjusted,Meaning,vbm,.2778319418430328,5,M
week,18,Week 18,3,meaning_adjusted,Meaning,vbm,.7458762526512146,3,M
week,23,Week 23,6,meaning_adjusted,Meaning,vbm,.7688921093940735,3,M
week,24,Week 24,1,meaning_adjusted,Meaning,vbm,.6180984377861023,3,M
week,25,Week 25,10,meaning_adjusted,Meaning,vbm,.6406235098838806,2.370588064193726,M
week,26,Week 26,3,meaning_adjusted,Meaning,vbm,.567500114440918,3.047511339187622,M
week,1,Week 1,14,pooled_adjusted,Pooled D,vbm,.7095376253128052,9.021428571428574,D
week,2,Week 2,1,pooled_adjusted,Pooled D,vbm,.4312088787555695,6.700000000000001,D
week,5,Week 5,1,pooled_adjusted,Pooled D,vbm,.8306505680084229,9.5,D
week,6,Week 6,5,pooled_adjusted,Pooled D,vbm,.730762243270874,8.940000000000001,D
week,8,Week 8,2,pooled_adjusted,Pooled D,vbm,.4427920579910278,9.71764705882353,D
