series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0436119213454606,.0226445808109366,.0636361842513819,5.20479608111187
three_leg_adjusted,avg_v,V (vocabulary),5.891405697713026,1.041701202380071,3.66397974563e-06,2.064194577352472
three_leg_adjusted,avg_b,BK (background knowledge),-2.383371435827824,.3880165673731545,9.36951881989e-07,.1325415812257917
three_leg_adjusted,avg_m,M (meaning),-4.059292252664142,.7149417153277542,3.44183991342e-06,3.008059922533607
vocab_adjusted,avg_v,V (vocabulary),-.1335992034669914,.0668122409166695,.0546680798460524,2.064194577352472
bk_adjusted,avg_b,BK (background knowledge),-.0780933429044138,.06285382777969,.2236916618700924,.1325415812257917
meaning_adjusted,avg_m,M (meaning),-.1811853500149509,.0834643110044369,.0379879008091557,3.008059922533607
genre_adjusted,avg_v,V (vocabulary),5.891405697713026,1.041701202380071,3.66397974563e-06,2.064194577352472
genre_adjusted,avg_b,BK (background knowledge),-2.383371435827824,.3880165673731545,9.36951881989e-07,.1325415812257917
genre_adjusted,avg_m,M (meaning),-4.059292252664142,.7149417153277542,3.44183991342e-06,3.008059922533607
genre_adjusted,share_literary,Literary share,0,0,,.9203691053808781
genre_adjusted,share_fiction,Fiction share,0,0,,.9203691053808781
textstat_adjusted,avg_textstat,Textstat readability (z),-.0207490275767242,.0513533326070164,.6890460302375621,-1.657855211823447
lexile_adjusted,avg_lexile,Published Lexile (z),-.0191811348569673,.0529154862823306,.7195299821531813,-1.411006097117794
atos_adjusted,avg_atos,Published ATOS (z),-.0197325587340181,.054436713405722,.7195299821531841,-1.393542574561404
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),.1534032411048688,.033089144532542,.0000649773967639,.3827693255311226
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),-.033977316056574,.093734088994687,.7195299821531824,-.3692258731235772
