series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0103627962602296,.0230039868233457,.6564088523666018,9.256124183901708
three_leg_adjusted,avg_v,V (vocabulary),.260560070132101,.0713813076062532,.0012684579363982,3.639866524490066
three_leg_adjusted,avg_b,BK (background knowledge),-.0683448017605871,.020585225604206,.0028676913911931,2.097538178342464
three_leg_adjusted,avg_m,M (meaning),-.1897388865354783,.0687630833974548,.0109106290012053,3.518719475660751
vocab_adjusted,avg_v,V (vocabulary),.0872539865409483,.0767740948848113,.2669672376285084,3.639866524490066
bk_adjusted,avg_b,BK (background knowledge),-.0602359406836394,.0170254690611408,.0016769416233984,2.097538178342464
meaning_adjusted,avg_m,M (meaning),.0459824032028051,.0693026650976407,.5133331123801304,3.518719475660751
genre_adjusted,avg_v,V (vocabulary),.2367135938473568,.0734643691230392,.0036399351361824,3.639866524490066
genre_adjusted,avg_b,BK (background knowledge),-.0683919492938724,.020487651248536,.0027434261844608,2.097538178342464
genre_adjusted,avg_m,M (meaning),-.1080738244683179,.0875818414728031,.2291598258487425,3.518719475660751
genre_adjusted,share_literary,Literary share,-.1110284206826071,.1266088327702687,.3892127936568635,.7080419486138358
genre_adjusted,share_fiction,Fiction share,0,0,,0
textstat_adjusted,avg_textstat,Textstat readability (z),-.0016399395563547,.0760864503280658,.9829822178688992,-.9746813292941134
lexile_adjusted,avg_lexile,Published Lexile (z),.1058355995008201,.1018850234566185,.3097072463759315,-.5294968788865112
atos_adjusted,avg_atos,Published ATOS (z),0,0,,-.794234
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),.1299830338328533,.0088860997255874,1.87426156658e-13,-.0661333029658627
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),.0258218929455842,.0317212255807768,.4236337082269513,-.1640500116966416
