series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0058317652921939,.0205097755813402,.778808399936635,6.551844761904762
three_leg_adjusted,avg_v,V (vocabulary),-.1268645532796071,.366005398821936,.732170720823978,2.59045
three_leg_adjusted,avg_b,BK (background knowledge),-.1096353970157068,.0905383882063514,.2387717041878541,.7247471428571428
three_leg_adjusted,avg_m,M (meaning),.3322446993895223,.5518895384328018,.5533198877815803,3.236647619047619
vocab_adjusted,avg_v,V (vocabulary),.0012033488323578,.0495022980823369,.9808253229750379,2.59045
bk_adjusted,avg_b,BK (background knowledge),-.0664086246911801,.0422822987764349,.1305475592692226,.7247471428571428
meaning_adjusted,avg_m,M (meaning),.0234832484873919,.0856040078298053,.7863949248238652,3.236647619047619
genre_adjusted,avg_v,V (vocabulary),.8785600941553264,.3286774129607812,.0138936002721892,2.59045
genre_adjusted,avg_b,BK (background knowledge),-.9746448544773537,1.284674854567606,.4561014414712186,.7247471428571428
genre_adjusted,avg_m,M (meaning),-1.324990738588726,1.067210111688397,.2274786359688341,3.236647619047619
genre_adjusted,share_literary,Literary share,.3275152315261444,.5121840398890463,.5291341808121807,.8365000000596047
genre_adjusted,share_fiction,Fiction share,-.8810440546344005,1.219642332225015,.477670739730521,.4528000000119209
textstat_adjusted,avg_textstat,Textstat readability (z),-.0955858134663615,.0537132907372926,.088968466760043,-1.328041033227762
lexile_adjusted,avg_lexile,Published Lexile (z),-.107942668795667,.0418342869824333,.0170757219956069,-.9034060524867724
atos_adjusted,avg_atos,Published ATOS (z),-.0500271891796129,.0292754956052153,.1015520594209412,-.9825713283236994
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),0,0,,.4170288281141502
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),-.0008915595085802,.0579608126076152,.9878659841406494,-.3457276772579215
