period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,1,Week 1,12,genre_adjusted,Genre-adjusted,controls,.4332856833934784,.8333333134651184,V+B+M+literary+fiction
week,3,Week 3,1,genre_adjusted,Genre-adjusted,controls,.6743886470794678,1,V+B+M+literary+fiction
week,11,Week 11,1,genre_adjusted,Genre-adjusted,controls,.6692829728126526,0,V+B+M+literary+fiction
week,16,Week 16,3,genre_adjusted,Genre-adjusted,controls,.4999523460865021,0,V+B+M+literary+fiction
week,19,Week 19,8,genre_adjusted,Genre-adjusted,controls,.6550434231758118,1,V+B+M+literary+fiction
week,26,Week 26,16,genre_adjusted,Genre-adjusted,controls,.5707921385765076,0,V+B+M+literary+fiction
week,1,Week 1,11,atos_adjusted,ATOS (published),external,.4215768501564203,-.6451695454545455,atos_published_z
week,3,Week 3,1,atos_adjusted,ATOS (published),external,.5263874314392833,-1.409125,atos_published_z
week,11,Week 11,1,atos_adjusted,ATOS (published),external,.7776374295755574,.8454750000000002,atos_published_z
week,19,Week 19,8,atos_adjusted,ATOS (published),external,.5070421926344661,-1.409125,atos_published_z
week,26,Week 26,14,atos_adjusted,ATOS (published),external,.6768152309717231,.8454750000000003,atos_published_z
week,1,Week 1,12,clear_adjusted,CLEAR,external,.4742987463505546,-1.397184401515151,clear_complexity_z
week,3,Week 3,1,clear_adjusted,CLEAR,external,.7221335156536671,-1.640293,clear_complexity_z
week,11,Week 11,1,clear_adjusted,CLEAR,external,.601265196739738,-.0972788333333334,clear_complexity_z
week,16,Week 16,3,clear_adjusted,CLEAR,external,.5146690991543078,.9158419999999999,clear_complexity_z
week,19,Week 19,8,clear_adjusted,CLEAR,external,.7027882768488498,-1.640293,clear_complexity_z
week,26,Week 26,16,clear_adjusted,CLEAR,external,.514667561414186,.0074975802371244,clear_complexity_z
week,1,Week 1,12,czi_adjusted,CZI,external,.4886221339745072,-.8344536591567412,czi_score
week,3,Week 3,1,czi_adjusted,CZI,external,.7129489858980081,-2.084440398921981,czi_score
week,11,Week 11,1,czi_adjusted,CZI,external,.5976132748345364,.0039520809297004,czi_score
week,16,Week 16,3,czi_adjusted,CZI,external,.5225359605143404,1.696007301831428,czi_score
week,19,Week 19,8,czi_adjusted,CZI,external,.6936037470931909,-2.084440398921981,czi_score
